Category	category	Item #	SPECIES	SEEDS/OZ	SEEDS/PKT	GERM CODE	packet	1/8 oz	1/4 oz	1/2 oz	ounce	pound	Dormant Bare Roots	Potted 3-Pack	Potted Tray of 32	Potted Tray of 36	Potted Tray of 38	Potted Tray of 50	SPECIES	SUN	SOIL	HT	BLOOM TIME	BLOOM COLOR
Forb	F	LES06F	Lespedeza virginica (Slender Bush Clover)	"7,700"	100	"C(10),I,H"	$3.50	$4.50	$6.00	$9.75	$15.00								Lespedeza virginica (Slender Bush Clover)	Partial	Medium to Medium-Dry	2ft	July August September	Purple
Forb	F	LIA02F	Liatris aspera (Button Blazing Star)	"13,000"	100	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00		$7.00	$21.00			$169.00	$169.00	Liatris aspera (Button Blazing Star)	Full to Partial	Medium to Dry	3ft	July August September October	Purple
Forb	F	LIA04F	Liatris cylindracea (Dwarf Blazing Star)	"9,000"	75	C(60)	$3.50	$11.25	$17.50	$30.00	$50.00		$7.00					$189.00	Liatris cylindracea (Dwarf Blazing Star)	Full to Partial	Medium-Dry to Dry	12in	July August September October	Purple
Forb	F	LIA06F	Liatris ligulistylis (Meadow Blazing Star)	"10,000"	100	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00	$450.00	$7.00	$21.00			$169.00	$169.00	Liatris ligulistylis (Meadow Blazing Star)	Full to Partial	Medium-Wet to Medium-Dry	5ft	August September	Purple
Forb	F	LIA07F	Liatris mucronata (Bottlebrush Blazing Star)	"4,400"	90	C(30)	$3.50	$7.50	$12.00	$19.50	$30.00								Liatris mucronata (Bottlebrush Blazing Star)	Full	Medium-Dry to Dry	2ft	August September October	Purple
Forb	F	LIA08F	Liatris punctata (Dotted Blazing Star)	"4,000"	50	C(30)	$3.50	$6.25	$10.00	$16.50	$25.00					$119.00			Liatris punctata (Dotted Blazing Star)	Full to Partial	Medium-Dry to Dry	2ft	July August September	Purple
Forb	F	LIA10F	Liatris pycnostachya (Prairie Blazing Star)	"11,000"	150	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00		$7.00	$21.00			$169.00	$169.00	Liatris pycnostachya (Prairie Blazing Star)	Full to Partial	Wet to Medium	4ft	July August September	Purple
Forb	F	LIA15F	Liatris scariosa var. nieuwlandii (Northern Blazing Star)	"12,000"	100	C(60)	$3.50	$7.50	$12.00	$19.50			$10.00					$169.00	Liatris scariosa var. nieuwlandii (Northern Blazing Star)	Full to Partial	Medium to Dry	2ft	August September	Purple
Forb	F	LIA14F	Liatris spicata (Dense Blazing Star)	"8,000"	150	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00		$8.00	$21.00				$169.00	Liatris spicata (Dense Blazing Star)	Full to Partial	Wet to Medium	5ft	July August September	Purple
Forb	F	LIA16F	Liatris squarrosa (Scaly Blazing Star)	"9,000"	50	C(60)							$7.00						Liatris squarrosa (Scaly Blazing Star)	Full	Medium-Dry to Dry	2ft	July August September	Purple
Forb	F	LIL02F	Lilium michiganense (Michigan Lily)	"10,000"	30	E	$3.50	$20.75	$36.25	$67.50	$125.00		$15.00						Lilium michiganense (Michigan Lily)	Full to Partial	Wet to Medium	5ft	June July August	Orange
Forb	F	LIL04F	Lilium philadelphicum (Prairie Lily)	"18,000"	25	C(60)	$3.50	$42.50					$15.00						Lilium philadelphicum (Prairie Lily)	Full to Partial	Medium-Wet to Medium- Dry	12in	July August 	Orange
Forb	F	LIN01F	Linaria canadensis (Blue Toadflax)	"1,200,000"	750	A	$3.50	$30.00											Linaria canadensis (Blue Toadflax)	Full	Dry	2ft	May June July August	Blue
Forb	F	LIN02F	Linum sulcatum (Grooved Yellow Flax)	"50,000"	75	C(30)	$3.50												Linum sulcatum (Grooved Yellow Flax)	Full	Medium-Dry to Dry	12in	July August September	Yellow
Forb	F	LOB02F	Lobelia cardinalis (Cardinal Flower)	"400,000"	750	"C(60),D"	$3.50	$11.25	$17.50	$30.00	$50.00	$750.00	$7.00	$21.00			$169.00	$169.00	Lobelia cardinalis (Cardinal Flower)	Full to Partial	Wet to Medium-Wet	4ft	July August September	Red
Forb	F	LOB04F	Lobelia inflata (Indian Tobacco)	"500,000"	"1,000"	"C(60),D"	$3.50	$15.00											Lobelia inflata (Indian Tobacco)	Full to Shade	Medium-Wet to Medium-Dry	2ft	July August September October	Blue
Forb	F	LOB06F	Lobelia siphilitica (Great Blue Lobelia)	"500,000"	"1,000"	"C(60),D"	$3.50	$7.50	$12.00	$19.50	$30.00		$7.00	$21.00			$169.00	$169.00	Lobelia siphilitica (Great Blue Lobelia)	Full to Partial	Wet to Medium	3ft	July August September October	Blue
Forb	F	LOB10F	Lobelia spicata (Pale Spiked Lobelia)	"900,000"	750	"C(60),D"	$3.50	$23.75	$42.50	$80.00	$150.00							$169.00	Lobelia spicata (Pale Spiked Lobelia)	Full to Partial	Medium-Wet to Medium-Dry	2ft	May June July August	Purple
Cover Crop	C	LOLCC	Lolium multiflorem (Annual Rye Grass) - Cover Crop	"9,200"								$2.00							Lolium multiflorem (Annual Rye Grass) - Cover Crop	Full to Partial	Medium	3ft		
Forb	F	LUD02F	Ludwigia alternifolia (Seedbox)	"1,300,000"	"1,000"	C(60)	$3.50	$5.00	$8.00									$169.00	Ludwigia alternifolia (Seedbox)	Full	Medium-Wet	3ft	May June July	Yellow
Forb	F	LUP02F	Lupinus perennis subsp. perennis (Sundial Lupine)	"1,100"	40	"C(10),H,I"	$3.50	$7.50	$12.00	$19.50	$30.00			$24.00	$179.00				Lupinus perennis (Wild Lupine)	Full to Partial	Medium-Dry to Dry	2ft	May June July	Purple
Forb	F	LYC02F	Lycopus americanus (Water Horehound)	"155,000"	"1,000"	"A,D"	$3.50											$159.00	Lycopus americanus (Water Horehound)	Full to Partial	Wet to Medium-Wet	2ft	July August September	White
Forb	F	LYC01F	Lycopus asper (Rough Bugleweed)	"40,000"	150	A	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00							Lycopus asper (Rough Bugleweed)	Full to Partial	Wet to Medium-Wet	3ft	June July August September	White
Forb	F	LYS01F	Lysimachia ciliata (Fringed Loosestrife)	"25,000"	100	C(60)							$6.00						Lysimachia ciliata (Fringed Loosestrife)	Full to Shade	Medium-Wet to Medium	2ft	June July August	Yellow
Forb	F	LYS02F	Lysimachia hybrida (River Loosestrife)	"75,000"	400	C(60)	$3.50	$15.00	$25.00	$45.00	$80.00								Lysimachia hybrida (River Loosestrife)	Full to Partial	Wet to Medium	3ft	July August	Yellow
Forb	F	LYS04F	Lysimachia quadriflora (Prairie Loosestrife)	"48,000"	100	"C(60),D"												$159.00	Lysimachia quadriflora (Prairie Loosestrife)	Full to Partial	Wet to Medium	2ft	July August	Yellow
Forb	F	LYT02F	Lythrum alatum (Winged Loosestrife)	"3,000,000"	"2,000"	"C(60),D"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00					$169.00	$159.00	Lythrum alatum (Winged Loosestrife)	Full	Wet to Medium-Wet	3ft	June July August September	Purple
Forb	F	SMI02F	Maianthemum racemosum (Solomon's Plume)	400	20	"F,L"	$3.50	$4.00	$6.00	$9.75	$15.00	$225.00	$8.00						Maianthemum racemosum (Solomon's Plume)	Full to Shade	Medium-Wet to Dry	2ft	April May June	White
Forb	F	SMI04F	Maianthemum stellatum (Starry Solomon's Plume)	"1,350"	15	"F,L"	$3.50	$15.00	$25.00	$45.00	$80.00		$8.00						Maianthemum stellatum (Starry Solomon's Plume)	Full to Shade	Medium-Wet to Dry	2ft	April May June	White
Fern	S	MAT02S	Matteuccia struthiopteris (Ostrich Fern)			S							$9.00						Matteuccia struthiopteris (Ostrich Fern)	Full to Shade	Wet to Medium	4ft		
Forb	F	MEL02F	Melanthium virginicum (Bunch Flower)	"5,500"	85	"C(60),M"	$3.50	$11.25	$17.50	$30.00	$50.00		$8.00						Melanthium virginicum (Bunch Flower)	Full to Partial	Wet to Medium	5ft	June July August	White
Forb	F	MEN04F	Mentha arvensis (Wild Mint)	"250,000"	500	"A,D"	$3.50	$11.25	$17.50	$30.00	$50.00							$169.00	Mentha arvensis (Wild Mint)	Full to Partial	Wet to Medium	2ft	July August September	White
Forb	F	MER02F	Mertensia virginica (Virginia Bluebells)	"9,700"	75	"C(60),M"	$3.50						$10.00		$179.00				Mertensia virginica (Virginia Bluebells)	Partial to Shade	Medium-Wet to Medium	2ft	April May	Blue
Forb	F	SCH02F	Mimosa quadrivalis var. nuttallii (Sensitive Plant)	"2,200"	100	"C(10),H,I"	$3.50	$4.50	$6.00	$9.75	$15.00								Mimosa quadrivalis var. nuttallii (Sensitive Plant)	Full	Medium-Dry to Dry	3ft	May June July	Pink
Forb	F	MIM02F	Mimulus ringens (Monkey Flower)	"2,300,000"	"2,000"	"C(60),D"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00						$159.00	Mimulus ringens (Monkey Flower)	Full to Partial	Wet to Medium-Wet	2ft	June July August September	Purple
Forb	F	MIR01F	Mirabilis nyctaginea (Wild Four O'Clock)	"3,500"	75	A	$3.50	$6.25	$10.00	$16.25	$25.00								Mirabilis nyctaginea (Wild Four O'Clock)	Full	Medium to Dry	4ft	June July August September	Purple
Forb	F	MIT04F	Mitella diphylla (Bishop's Cap)	"90,000"	100	"L,M"	$3.50						$9.00					$189.00	Mitella diphylla (Bishop's Cap)	Partial to Shade	Medium-Wet to Medium-Dry	12in	April May June	White
Forb	F	MON01F	Monarda bradburiana (Bradbury's Monarda)	"42,000"	100	C(60)	$3.50						$8.00	$21.00			$169.00	$189.00	Monarda bradburiana (Bradbury's Monarda)	Full to Partial	Medium to Medium-Dry	2ft	June July	Pink
Forb	F	MON02F	Monarda fistulosa (Wild Bergamot)	"70,000"	500	A	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00	$6.00	$21.00			$169.00	$159.00	Monarda fistulosa (Wild Bergamot)	Full to Partial	Medium-Wet to Dry	4ft	July August September	Purple
Forb	F	MON06F	Monarda punctata (Spotted Bee Balm)	"70,000"	500	"A,D"	$3.50	$7.50	$12.00				$7.00	$21.00			$169.00	$169.00	Monarda punctata (Spotted Bee Balm)	Full to Partial	Medium-Dry to Dry	2ft	July August September	Purple
Grass/Sedge/Rush	G	MUH02G	Muhlenbergia mexicana (Leafy Satin Grass)	"175,000"	400	"A,D"	$3.50	$7.50											Muhlenbergia mexicana (Leafy Satin Grass)	Full to Shade	Medium-Wet to Medium-Dry	2ft	August September	
Grass/Sedge/Rush	G	MUH08G	Muhlenbergia racemosa (Upland Wild Timothy)	"105,000"	750	"A,D"	$3.50	$5.00	$8.00	$13.00									Muhlenbergia racemosa (Upland Wild Timothy)	Full	Medium-Wet to Medium-Dry	2ft	August September	
Forb	F	NAP02F	Napaea dioica (Glade Mallow)	"3,600"	200	C(60)	$3.50		$4.00	$5.00	$6.00		$8.00						Napaea dioica (Glade Mallow)	Full to Partial	Medium-Wet to Medium	7ft	June July August	White
Forb	F	NEL01F	Nelumbo lutea (American Lotus)	20	3	O	$3.50	$4.00	$4.80	$7.80	$12.00								Nelumbo lutea (American Lotus)	Full	Wet	6ft	July August September	White
Forb	F	NIC02F	Nicotiana rustica (Midewiwan Sacred Tobacco)	"130,000"	250	"A,D"	$3.50	$7.50	$12.00	$19.50	$30.00								Nicotiana rustica (Midewiwan Sacred Tobacco)	Full to Partial	Medium to Medium-Dry	2ft	July August September	Yellow
Forb	F	OEN02F	Oenothera biennis (Common Evening Primrose)	"70,000"	750	"A,D,G"	$3.50		$4.00	$5.00	$6.00	$90.00							Oenothera biennis (Common Evening Primrose)	Full to Partial	Medium-Wet to Dry	6ft	June July August September October November	Yellow
Forb	F	OEN10F	Oenothera macrocarpa (Missouri Evening Primrose)	"4,700"	50	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00							Oenothera macrocarpa (Missouri Evening Primrose)	Full to Partial	Medium-Dry to Dry	12in	May June July August	Yellow
Forb	F	OEN20F	Oenothera rhombipetala (Sand Evening Primrose)	"130,000"	500	"D,?"	$3.50	$4.50	$6.00	$9.75	$15.00								Oenothera rhombipetala (Sand Evening Primrose)	Full to Partial	Dry	2ft	June July August September	Yellow
Forb	F	AST26F	Oligoneuron album (Upland White Goldenrod)	"40,000"	500	A	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00						$189.00	Oligoneuron album (Upland White Goldenrod)	Full	Medium-Dry to Dry	12in	June July August September	White
Forb	F	SOL10F	Oligoneuron riddellii (Riddell's Goldenrod)	"80,000"	"1,000"	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00	$375.00	$7.00					$169.00	Oligoneuron riddellii (Riddell's Goldenrod)	Full	Wet to Medium	3ft	August September October	Yellow
Forb	F	SOL12F	Oligoneuron rigidum (Stiff Goldenrod)	"41,000"	"1,000"	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00	$7.00	$21.00			$169.00	$169.00	Oligoneuron rigidum (Stiff Goldenrod)	Full to Partial	Medium-Wet to Dry	4ft	August September October	Yellow
Fern	S	ONO02S	Onoclea sensibilis (Sensitive Fern)			S							$7.00						Onoclea sensibilis (Sensitive Fern)	Full to Shade	Wet to Medium-Wet	12in		
Forb	F	ONO52F	Onosmodium molle (Marbleseed)	"1,500"	25	B	$3.50	$7.50	$12.00	$19.50									Onosmodium molle (Marbleseed)	Full to Partial	Medium to Dry	3ft	June July	Cream
Cacti	S	OPU02S	Opuntia fragilis (Fragile Prickly Pear)			A							$6.00						Opuntia fragilis (Fragile Prickly Pear)	Full	Dry	3in	July August September	Yellow
Cacti	S	OPU04S	Opuntia humifusa (Eastern Prickly Pear)	900	20	A	$3.50						$6.00		$129.00				Opuntia humifusa (Eastern Prickly Pear)	Full to Partial	Dry	6in	June July	Yellow
Forb	F	PSO07F	Orbexilum pedunculatum (Sampson's Snakeroot)	"2,400"	50	"C(10),H,I"	$3.50	$7.50	$12.00										Orbexilum pedunculatum (Sampson's Snakeroot)	Full to Partial	Medium to Dry	12in	May June July	Purple
Forb	F	ORT02F	Orthocarpus luteus (Yellow Owl-Clover)	"250,000"	250	"C(30),K"	$3.50	$10.00											Orthocarpus luteus (Yellow Owl-clover)	Full	Medium-Wet to Dry	12in	June July August September	Yellow
Grass/Sedge/Rush	G	ORY02G	Oryzopsis asperifolia (Rough-leaved Rice Grass)	"5,000"	25	A	$3.50	$11.25	$17.50										Oryzopsis asperifolia (Rough-leaved Rice Grass)	Full to Partial	Medium to Dry	2ft	May June July	
Forb	F	OSM02F	Osmorhiza claytonii (Sweet Cicely)	"2,500"	75	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00								Osmorhiza claytonii (Sweet Cicely)	Shade	Medium-Wet to Medium-Dry	2ft	May June	White
Forb	F	OSM03F	Osmorhiza longistylis (Aniseroot)	"2,300"	50	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00								Osmorhiza longistylis (Aniseroot)	Partial to Shade	Medium-Wet to Medium	2ft	May June	White
Fern	S	OSM52S	Osmunda claytoniana (Interrupted Fern)			S							$10.00						Osmunda claytoniana (Interrupted Fern)	Full to Shade	Medium	3ft		
Forb	F	OXA02F	Oxalis violacea (Violet Wood Sorrel)	"50,000"	100	"C(60),M"	$3.50						$7.00						Oxalis violacea (Violet Wood Sorrel)	Full to Partial	Medium-Dry to Dry	4in	April May June	Purple
Forb	F	OXY06F	Oxytropis lambertii (Purple Locoweed)	"12,000"	50	"A,I"	$3.50	$4.50	$6.00	$9.75	$15.00	$225.00							Oxytropis lambertii (Purple Locoweed)	Full	Medium-Dry to Dry	12in	April May June	Purple
Forb	F	SEN10F	Packera aurea (Golden Ragwort)	"75,000"	150	C(60)	$3.50												Packera aurea (Golden Ragwort)	Full to Shade	Wet o Medium	2ft	May June	Yellow
Grass/Sedge/Rush	G	PAN02G	Panicum oligosanthes (Scribner's Panic Grass)	"10,500"	75	A	$3.50	$12.50	$20.00	$35.00	$60.00								Panicum oligosanthes (Scribner's Panic Grass)	Full to Partial	Medium to Dry	12in	May June July August September October	
Grass/Sedge/Rush	G	PAN04G	Panicum virgatum (Switch Grass)	"14,000"	500	A	$3.50				$4.00	$16.00		$18.00			$169.00	$159.00	Panicum virgatum (Switch Grass)	Full to Partial	Medium-Wet to Dry	4ft	July August September	
Forb	F	PAR02F	Parthenium integrifolium (Wild Quinine)	"10,000"	200	C(60)	$3.50										$169.00	$189.00	Parthenium integrifolium (Wild Quinine)	Full	Medium-Wet to Medium-Dry	4ft	June July August September	White
Grass/Sedge/Rush	G	PAS02G	Paspalum setaceum (Hairy Lens Grass)	"22,000"	300	A	$3.50	$11.25	$17.50	$30.00	$50.00								Paspalum setaceum (Hairy Lens Grass)	Full	Dry	2ft	June July August September October	
Tree/Shrub/Woody Vine	T	PAS02T	Passiflora incarnata (Purple Passion Flower)	750	10	C(60)	$3.50	$10.00											Passiflora incarnata (Purple Passion Flower)	Full to Partial	Medium-Wet to Medium-Dry	up to 20ft	June July August September October	Purple
Forb	F	PED02F	Pedicularis canadensis (Wood Betony)	"37,000"	75	"C(30),K"	$3.50	$11.25											Pedicularis canadensis (Wood Betony)	Full to Partial	Medium-Wet to Dry	12in	April May	Yellow
Forb	F	PED04F	Pedicularis lanceolata (Marsh Betony)	"30,000"	750	"C(30),K"	$3.50	$5.00											Pedicularis lanceolata (Marsh Betony)	Full to Partial	Wet to Medium-Wet	3ft	August September	Cream
Forb	F	PSO04F	Pediomelum esculentum (Prairie Turnip)	"1,500"	10	"B,H,I"	$3.50												Pediomelum esculentum (Prairie Turnip)	Full	Medium-Dry to Dry	12in	May June July	Blue
Forb	F	PSO08F	Pedoimelum tenuiflorum (Scurfy Pea)	"1,000"	5	"C(10),H,I"	$3.50												Pediomelum tenuiflorum (Scurfy Pea)	Full	Medium-Dry to Dry	2ft	"June, July"	Blue
Forb	F	PEN01F	Penstemon calycosus (Calico Beardtongue)	"110,000"	500	"C(30),G"	$3.50	$7.50	$12.00				$8.00					$159.00	Penstemon calycosus (Calico Beardtongue)	Full to Shade	Medium-Wet to Medium	3ft	June July	Pink
Forb	F	PEN12F	Penstemon cobaea (Showy Beardtongue)	"12,000"	50	C(30)	$3.50	$5.00	$8.00										Penstemon cobaea (Showy Beardtongue)	Full to Partial	Medium-Dry to Dry	2ft	May June July	Purple
Forb	F	PEN02F	Penstemon digitalis (Foxglove Beardtongue)	"105,000"	"1,000"	C(30)	$3.50		$4.00	$5.00	$6.00	$90.00		$21.00			$169.00	$159.00	Penstemon digitalis (Foxglove Beardtongue)	Full to Partial	Medium to Medium-Dry	4ft	June July	White
Forb	F	PEN04F	Penstemon gracilis (Slender Beardtongue)	"450,000"	"1,000"	"C(30),G"	$3.50	$12.50	$20.00	$35.00									Penstemon gracilis (Slender Beardtongue)	Full to Partial	Medium-Dry to Dry	2ft	May June July	Purple
Forb	F	PEN06F	Penstemon grandiflorus (Large-flowered Beardtongue)	"13,000"	300	"C(30),G"	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00		$24.00					Penstemon grandiflorus (Large-flowered Beardtongue)	Full to Partial	Medium-Dry to Dry	2ft	May June	Purple
Forb	F	PEN07F	Penstemon hirsutus (Hairy Beardtongue)	"350,000"	"1,000"	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00		$6.00	$21.00			$169.00	$159.00	Penstemon hirsutus (Hairy Beardtongue)	Full to Shade	Medium-Wet to Dry	18in	May June	Purple
Forb	F	PEN10F	Penstemon laevigatus (Eastern Smooth Beardtongue)	"146,000"	750	C(60)	$3.50												Penstemon laevigatus (Eastern Smooth Beardtongue)	Full to Partial	Medium to Medium-Dry	3ft	May June July	Purple
Forb	F	PEN08F	Penstemon pallidus (Pale Beardtongue)	"200,000"	750	"C(30),D,G"	$3.50	$7.50	$12.00	$19.50	$30.00						$169.00	$159.00	Penstemon pallidus (Pale Beardtongue)	Full to Partial	Medium-Dry to Dry	12in	May June July	White
Forb	F	PEN14F	Penstemon tubeaflorus (Tube Beardtongue)	"230,000"	500	"C(30),D,G"	$3.50												Penstemon tubeaflorus (Tube Beardtongue)	Full to Partial	Medium to Dry	3ft	May June July	White
Forb	F	PEN52F	Penthorum sedoides (Ditch Stonecrop)	"1,300,000"	"1,000"	"C(60),D"	$3.50	$4.00	$5.00									$169.00	Penthorum sedoides (Ditch Stonecrop)	Full to Partial	Wet to Medium-Wet	2ft	June July August September	Green
Forb	F	PER01F	Perideridia americana (Wild Dill)	"10,000"	50	C(60)	$3.50	$8.50	$12.75	$21.50	$25.00								Perideridia americana (Wild Dill)	Full to Partial	Medium-Wet to Medium-Dry	3ft	April May June	White
Forb	F	POL40F	Persicaria pensylvanica (Pinkweed)	"5,500"	200	"C(60),D,?"	$3.50	$4.00	$5.00										Persicaria pensylvanica (Pinkweed)	Partial	Wet to Medium	4ft	June July August September October	Pink
Forb	F	POL44F	Persicaria punctata (Smartweed)	"9,000"	100	"C(60),D"	$3.50	$4.50	$6.00	$9.75	$15.00								Persicaria punctata (Smartweed)	Full to Partial	Wet to Medium-Wet	2ft	August September	White
Forb	F	POL80F	Persicaria virginiana (Woodland Knotweed)	"5,500"	50	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00	$375.00							Persicaria virginiana (Woodland Knotweed)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	July August September October	White
Forb	F	PHA02F	Phaseolus polystachios (Wild Kidney Bean)	220	5	O	$3.50	$5.00	$8.00	$13.00	$20.00								Phaseolus polystachios (Wild Kidney Bean)	Full to Partial	Medium to Medium-Dry	8ft	July August September	Pink
Forb	F	PHL04F	Phlox divaricata (Wild Blue Phlox)	"12,500"	25	C(60)	$3.50						$9.00		$179.00	$119.00			Phlox divaricata (Wild Blue Phlox)	Partial to Shade	Medium-Wet to Medium-Dry	12in	April May June	Blue
Forb	F	PHL06F	Phlox glaberrima subsp. interior (Smooth Phlox)	"12,000"	25	C(60)	$3.50	$20.75	$36.25	$67.50	$125.00							$189.00	Phlox glaberrima subsp. interior (Smooth Phlox)	Full to Partial	Medium-Wet to Medium	2ft	June July August September	Pink
Forb	F	PHL08F	Phlox maculata (Wild Sweet William)	"7,000"	75	C(60)	$3.50	$12.50	$20.00	$35.00	$60.00		$8.00						Phlox maculata (Wild Sweet William)	Full to Partial	Medium-Wet to Medium	3ft	June July August	Pink
Forb	F	PHL10F	Phlox pilosa (Prairie Phlox)	"12,000"	75	"C(60),M"	$3.50	$23.75						$24.00		$119.00		$189.00	Phlox pilosa (Prairie Phlox)	Full to Partial	Medium-Wet to Dry	2ft	May June July	Pink
Forb	F	PHR01F	Phryma leptostachya (Lopseed)	"3,300"	100	C(60)	$3.50												Phryma leptostachya (Lopseed)	Partial to Shade	Wet to Medium	2ft	June July August	Pink
Tree/Shrub/Woody Vine	T	PHY02T	Physocarpus opulifolius (Prairie Ninebark)	"23,000"	200	"C(60),M"	$3.50	$11.25	$17.50	$30.00	$50.00		$12.00						Physocarpus opulifolius (Prairie Ninebark)	Full to Partial	Medium-Wet to Medium-Dry	8ft	July	White
Forb	F	PHY52F	Physostegia virginiana (Obedient Plant)	"15,000"	200	C(60)	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00	$7.00	$21.00			$169.00	$169.00	Physostegia virginiana (Obedient Plant)	Full to Partial	Wet to Medium	4ft	August September	Pink
Grass/Sedge/Rush	G	POA02G	Poa palustris (Fowl Bluegrass)	"135,000"	"1,000"	"A,D"	$3.50				$4.00	$45.00							Poa palustris (Fowl Bluegrass)	Full to Shade	Wet to Medium-Wet	2ft	June July August September	
Forb	F	POD02F	Podophyllum peltatum (May Apple)	"1,100"	10	C(90)	$3.50	$17.50					$10.00						Podophyllum peltatum (May Apple)	Full to Partial	Medium to Medium-Dry	12in	May June	White
Forb	F	POL01F	Polanisia dodecandra (Clammy Weed)	"7,500"	150	C(30)	$3.50	$10.00	$15.00	$25.00	$40.00								Polanisia dodecandra (Clammy Weed)	Full	Medium-Dry to Dry	2ft	June July August September	Pink
Forb	F	POL02F	Polemonium reptans (Jacob's Ladder)	"18,000"	100	C(60)	$3.50						$10.00	$24.00				$169.00	Polemonium reptans (Jacob's Ladder)	Full to Shade	Medium-Wet to Medium-Dry	12in	April May June	Blue
Forb	F	POL42F	Polygala senega (Seneca Snakeroot)	"13,500"	30	C(60)	$3.50												Polygala senega (Seneca Snakeroot)	Full to Partial	Medium to Medium-Dry	12in	May June July	White
Forb	F	POL52F	Polygonatum biflorum (Solomon's Seal)	850	30	"F,L"	$3.50	$5.00	$8.00	$13.00	$20.00								Polygonatum biflorum (Solomon's Seal)	Full to Shade	Medium to Medium-Dry	4ft	May June	Cream
Forb	F	POL90F	Polymnia canadensis (Small-flowered Leafcup)	430	10	C(60)	$3.50												Polymnia canadensis (Small-flowered Leafcup)	Partial to Shade	Medium-Wet to Dry	4ft	June July August September	White
Forb	F	POL91F	Polymnia uvedalia (Bearsfoot)	300	7	"C(60),H"	$3.50	$4.50	$6.00	$9.75	$15.00								Polymnia uvedalia (Bearsfoot)	Full to Partial	Medium-Wet to Medium-Dry	7ft	July August September	Yellow
Forb	F	POL72F	Polytaenia nuttallii (Prairie Parsley)	"4,500"	75	"C(120),M"	$3.50												Polytaenia nuttallii (Prairie Parsley)	Full to Partial	Medium-Wet to Dry	4ft	June	Yellow
Forb	F	POR10F	Porteranthus stipulatus (Western Indian Physic)	"7,500"	75	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00		$7.00	$21.00				$169.00	Porteranthus stipulatus (Western Indian Physic)	Full to Partial	Medium-Wet to Medium-Dry	2ft	May June	White
Forb	F	POT05F	Potentilla paradoxa (Bushy Cinquefoil)	"210,000"	500	C(90)	$3.50												Potentilla paradoxa (Bushy Cinquefoil)	Full	Medium-Wet to Medium	16in	June July August	Yellow
Forb	F	PRE02F	Prenanthes alba (Lion's Foot)	"19,000"	100	C(60)	$3.50							$21.00					Prenanthes alba (Lion's Foot)	Partial to Shade	Medium-Wet to Medium-Dry	4ft	August September October	White
Tree/Shrub/Woody Vine	T	PRU02T	Prunus americana (American Plum)	30	3	"C(120)orL,M"							$12.00						Prunus americana (American Plum)	Full to Partial	Medium-Wet to Medium-Dry	up to 20ft	April May	White
Forb	F	GNA02F	Pseudognaphalium obtusifolium (Sweet Everlasting)	"500,000"	750	"C(60),D"	$3.50												Pseudognaphalium obtusifolium (Sweet Everlasting)	Full	Medium-Dry to Dry	2ft	July August September	White
Tree/Shrub/Woody Vine	T	PTE02T	Ptelea trifoliata (Wafer Ash)	900	25	C(60) or F	$3.50												Ptelea trifoliata (Wafer Ash)	Partial	Medium-Dry to Dry	up to 20ft	May June	Green
Forb	F	PYC07F	Pycnanthemum incanum (Hoary Mountain Mint)	"100,000"	500	"A,D"	$3.50	$5.00	$8.00	$13.00	$20.00								Pycnanthemum incanum (Hoary Mountain Mint)	Full to Partial	Medium to Medium-Dry	3ft	July August September	White
Forb	F	PYC01F	Pycnanthemum muticum (Clustered Mountain Mint)	"120,000"	150	"A,D"	$3.50	$11.25						$21.00				$169.00	Pycnanthemum muticum (Clustered Mountain Mint)	Full to Partial	Medium to Medium-Dry	3ft	July August September	Pink
Forb	F	PYC04F	Pycnanthemum tenuifolium (Slender Mountain Mint)	"300,000"	"1,000"	"A,D"	$3.50	$8.50	$12.75	$21.50	$35.00						$169.00	$159.00	Pycnanthemum tenuifolium (Slender Mountain Mint)	Full to Partial	Medium-Wet to Medium-Dry	2ft	June July August September	White
Forb	F	PYC02F	Pycnanthemum verticillatum var. pilosum (Hairy Mountain Mint)	"185,000"	"1,000"	"A,D"	$3.50	$6.25	$10.00	$16.25	$25.00						$169.00	$169.00	Pycnanthemum verticillatum var. pilosum (Hairy Mountain Mint)	Full to Partial	Medium to Medium-Dry	3ft	July August	White
